candidate_id,keyword,volume,cpc,currency,scope,branded,core_group_id,counted_core_volume,group_id,counted_volume,exclusion_or_condition,endpoint,observed_at_utc,source,monthly_searches_json
C2,casque audio pour la tv,1300,0.31,USD_DOCUMENTED,parent,False,,,,,"casque TV générique, filaire et sans fil mélangés",keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 590}, {""year"": 2026, ""month"": 6, ""search_volume"": 720}, {""year"": 2026, ""month"": 5, ""search_volume"": 880}, {""year"": 2026, ""month"": 4, ""search_volume"": 880}, {""year"": 2026, ""month"": 3, ""search_volume"": 1300}, {""year"": 2026, ""month"": 2, ""search_volume"": 1300}, {""year"": 2026, ""month"": 1, ""search_volume"": 1300}, {""year"": 2025, ""month"": 12, ""search_volume"": 1900}, {""year"": 2025, ""month"": 11, ""search_volume"": 1900}, {""year"": 2025, ""month"": 10, ""search_volume"": 1300}, {""year"": 2025, ""month"": 9, ""search_volume"": 1000}, {""year"": 2025, ""month"": 8, ""search_volume"": 1000}]"
C2,casque audio tv sans fil,1300,0.28,USD_DOCUMENTED,core,False,G0003,0,G0003,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 590}, {""year"": 2026, ""month"": 6, ""search_volume"": 590}, {""year"": 2026, ""month"": 5, ""search_volume"": 880}, {""year"": 2026, ""month"": 4, ""search_volume"": 880}, {""year"": 2026, ""month"": 3, ""search_volume"": 1600}, {""year"": 2026, ""month"": 2, ""search_volume"": 1600}, {""year"": 2026, ""month"": 1, ""search_volume"": 1300}, {""year"": 2025, ""month"": 12, ""search_volume"": 1900}, {""year"": 2025, ""month"": 11, ""search_volume"": 1900}, {""year"": 2025, ""month"": 10, ""search_volume"": 1000}, {""year"": 2025, ""month"": 9, ""search_volume"": 1000}, {""year"": 2025, ""month"": 8, ""search_volume"": 1000}]"
C2,casque audio tv,1300,0.31,USD_DOCUMENTED,parent,False,,,,,"casque TV générique, filaire et sans fil mélangés",keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 590}, {""year"": 2026, ""month"": 6, ""search_volume"": 720}, {""year"": 2026, ""month"": 5, ""search_volume"": 880}, {""year"": 2026, ""month"": 4, ""search_volume"": 880}, {""year"": 2026, ""month"": 3, ""search_volume"": 1300}, {""year"": 2026, ""month"": 2, ""search_volume"": 1300}, {""year"": 2026, ""month"": 1, ""search_volume"": 1300}, {""year"": 2025, ""month"": 12, ""search_volume"": 1900}, {""year"": 2025, ""month"": 11, ""search_volume"": 1900}, {""year"": 2025, ""month"": 10, ""search_volume"": 1300}, {""year"": 2025, ""month"": 9, ""search_volume"": 1000}, {""year"": 2025, ""month"": 8, ""search_volume"": 1000}]"
C2,meilleur casque sans fil tv,1300,0.34,USD_DOCUMENTED,core,False,G0002,0,G0002,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 720}, {""year"": 2026, ""month"": 6, ""search_volume"": 880}, {""year"": 2026, ""month"": 5, ""search_volume"": 880}, {""year"": 2026, ""month"": 4, ""search_volume"": 720}, {""year"": 2026, ""month"": 3, ""search_volume"": 1000}, {""year"": 2026, ""month"": 2, ""search_volume"": 1300}, {""year"": 2026, ""month"": 1, ""search_volume"": 1600}, {""year"": 2025, ""month"": 12, ""search_volume"": 2400}, {""year"": 2025, ""month"": 11, ""search_volume"": 2400}, {""year"": 2025, ""month"": 10, ""search_volume"": 1600}, {""year"": 2025, ""month"": 9, ""search_volume"": 1300}, {""year"": 2025, ""month"": 8, ""search_volume"": 1000}]"
C2,meilleur casque tv sans fil,1300,0.34,USD_DOCUMENTED,core,False,G0002,0,G0002,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 720}, {""year"": 2026, ""month"": 6, ""search_volume"": 880}, {""year"": 2026, ""month"": 5, ""search_volume"": 880}, {""year"": 2026, ""month"": 4, ""search_volume"": 720}, {""year"": 2026, ""month"": 3, ""search_volume"": 1000}, {""year"": 2026, ""month"": 2, ""search_volume"": 1300}, {""year"": 2026, ""month"": 1, ""search_volume"": 1600}, {""year"": 2025, ""month"": 12, ""search_volume"": 2400}, {""year"": 2025, ""month"": 11, ""search_volume"": 2400}, {""year"": 2025, ""month"": 10, ""search_volume"": 1600}, {""year"": 2025, ""month"": 9, ""search_volume"": 1300}, {""year"": 2025, ""month"": 8, ""search_volume"": 1000}]"
C2,casque audio télévision sans fil,1300,0.28,USD_DOCUMENTED,core,False,G0003,0,G0003,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:45.663971+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-3.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 590}, {""year"": 2026, ""month"": 6, ""search_volume"": 590}, {""year"": 2026, ""month"": 5, ""search_volume"": 880}, {""year"": 2026, ""month"": 4, ""search_volume"": 880}, {""year"": 2026, ""month"": 3, ""search_volume"": 1600}, {""year"": 2026, ""month"": 2, ""search_volume"": 1600}, {""year"": 2026, ""month"": 1, ""search_volume"": 1300}, {""year"": 2025, ""month"": 12, ""search_volume"": 1900}, {""year"": 2025, ""month"": 11, ""search_volume"": 1900}, {""year"": 2025, ""month"": 10, ""search_volume"": 1000}, {""year"": 2025, ""month"": 9, ""search_volume"": 1000}, {""year"": 2025, ""month"": 8, ""search_volume"": 1000}]"
C2,casque pour télévision,1300,0.36,USD_DOCUMENTED,parent,False,,,,,"casque TV générique, filaire et sans fil mélangés",keywords_data/google_ads/search_volume/live,2026-09-03T14:41:45.663971+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-3.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 720}, {""year"": 2026, ""month"": 6, ""search_volume"": 880}, {""year"": 2026, ""month"": 5, ""search_volume"": 1000}, {""year"": 2026, ""month"": 4, ""search_volume"": 880}, {""year"": 2026, ""month"": 3, ""search_volume"": 1000}, {""year"": 2026, ""month"": 2, ""search_volume"": 1300}, {""year"": 2026, ""month"": 1, ""search_volume"": 1600}, {""year"": 2025, ""month"": 12, ""search_volume"": 2400}, {""year"": 2025, ""month"": 11, ""search_volume"": 1900}, {""year"": 2025, ""month"": 10, ""search_volume"": 1300}, {""year"": 2025, ""month"": 9, ""search_volume"": 1000}, {""year"": 2025, ""month"": 8, ""search_volume"": 880}]"
C2,meilleur casque télévision sans fil,1300,0.34,USD_DOCUMENTED,core,False,G0002,0,G0002,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:45.663971+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-3.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 720}, {""year"": 2026, ""month"": 6, ""search_volume"": 880}, {""year"": 2026, ""month"": 5, ""search_volume"": 880}, {""year"": 2026, ""month"": 4, ""search_volume"": 720}, {""year"": 2026, ""month"": 3, ""search_volume"": 1000}, {""year"": 2026, ""month"": 2, ""search_volume"": 1300}, {""year"": 2026, ""month"": 1, ""search_volume"": 1600}, {""year"": 2025, ""month"": 12, ""search_volume"": 2400}, {""year"": 2025, ""month"": 11, ""search_volume"": 2400}, {""year"": 2025, ""month"": 10, ""search_volume"": 1600}, {""year"": 2025, ""month"": 9, ""search_volume"": 1300}, {""year"": 2025, ""month"": 8, ""search_volume"": 1000}]"
C2,casque audio télévision,1300,0.31,USD_DOCUMENTED,parent,False,,,,,"casque TV générique, filaire et sans fil mélangés",keywords_data/google_ads/search_volume/live,2026-09-03T14:41:45.663971+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-3.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 590}, {""year"": 2026, ""month"": 6, ""search_volume"": 720}, {""year"": 2026, ""month"": 5, ""search_volume"": 880}, {""year"": 2026, ""month"": 4, ""search_volume"": 880}, {""year"": 2026, ""month"": 3, ""search_volume"": 1300}, {""year"": 2026, ""month"": 2, ""search_volume"": 1300}, {""year"": 2026, ""month"": 1, ""search_volume"": 1300}, {""year"": 2025, ""month"": 12, ""search_volume"": 1900}, {""year"": 2025, ""month"": 11, ""search_volume"": 1900}, {""year"": 2025, ""month"": 10, ""search_volume"": 1300}, {""year"": 2025, ""month"": 9, ""search_volume"": 1000}, {""year"": 2025, ""month"": 8, ""search_volume"": 1000}]"
C2,meilleur casque sans fil television,1300,0.34,USD_DOCUMENTED,core,False,G0002,0,G0002,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:45.663971+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-3.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 720}, {""year"": 2026, ""month"": 6, ""search_volume"": 880}, {""year"": 2026, ""month"": 5, ""search_volume"": 880}, {""year"": 2026, ""month"": 4, ""search_volume"": 720}, {""year"": 2026, ""month"": 3, ""search_volume"": 1000}, {""year"": 2026, ""month"": 2, ""search_volume"": 1300}, {""year"": 2026, ""month"": 1, ""search_volume"": 1600}, {""year"": 2025, ""month"": 12, ""search_volume"": 2400}, {""year"": 2025, ""month"": 11, ""search_volume"": 2400}, {""year"": 2025, ""month"": 10, ""search_volume"": 1600}, {""year"": 2025, ""month"": 9, ""search_volume"": 1300}, {""year"": 2025, ""month"": 8, ""search_volume"": 1000}]"
C2,bluetooth casque tv,880,0.3,USD_DOCUMENTED,core,False,G0004,880,G0004,880,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 480}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 720}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 1000}, {""year"": 2025, ""month"": 12, ""search_volume"": 1600}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 880}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque sans fil pour la tv,880,0.23,USD_DOCUMENTED,core,False,G0001,0,G0001,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 720}, {""year"": 2026, ""month"": 6, ""search_volume"": 720}, {""year"": 2026, ""month"": 5, ""search_volume"": 720}, {""year"": 2026, ""month"": 4, ""search_volume"": 720}, {""year"": 2026, ""month"": 3, ""search_volume"": 1000}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 1300}, {""year"": 2025, ""month"": 12, ""search_volume"": 1900}, {""year"": 2025, ""month"": 11, ""search_volume"": 1600}, {""year"": 2025, ""month"": 10, ""search_volume"": 880}, {""year"": 2025, ""month"": 9, ""search_volume"": 590}, {""year"": 2025, ""month"": 8, ""search_volume"": 590}]"
C2,casque sans fils pour tv,880,0.26,USD_DOCUMENTED,core,False,G0001,0,G0001,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 390}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 590}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 590}, {""year"": 2026, ""month"": 2, ""search_volume"": 880}, {""year"": 2026, ""month"": 1, ""search_volume"": 1000}, {""year"": 2025, ""month"": 12, ""search_volume"": 1600}, {""year"": 2025, ""month"": 11, ""search_volume"": 1600}, {""year"": 2025, ""month"": 10, ""search_volume"": 1000}, {""year"": 2025, ""month"": 9, ""search_volume"": 880}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque bluetooth tv,880,0.3,USD_DOCUMENTED,core,False,G0004,0,G0004,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 480}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 720}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 1000}, {""year"": 2025, ""month"": 12, ""search_volume"": 1600}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 880}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque sans fil pour tv,880,0.26,USD_DOCUMENTED,core,False,G0001,0,G0001,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 390}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 590}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 590}, {""year"": 2026, ""month"": 2, ""search_volume"": 880}, {""year"": 2026, ""month"": 1, ""search_volume"": 1000}, {""year"": 2025, ""month"": 12, ""search_volume"": 1600}, {""year"": 2025, ""month"": 11, ""search_volume"": 1600}, {""year"": 2025, ""month"": 10, ""search_volume"": 1000}, {""year"": 2025, ""month"": 9, ""search_volume"": 880}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque bluetooth et tv,880,0.3,USD_DOCUMENTED,core,False,G0004,0,G0004,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 480}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 720}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 1000}, {""year"": 2025, ""month"": 12, ""search_volume"": 1600}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 880}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque bluetooth sur tv,880,0.3,USD_DOCUMENTED,core,False,G0004,0,G0004,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 480}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 720}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 1000}, {""year"": 2025, ""month"": 12, ""search_volume"": 1600}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 880}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque pour tv sennheiser,880,0.38,USD_DOCUMENTED,parent,True,,,,,"casque TV générique, filaire et sans fil mélangés",dataforseo_labs/google/keyword_suggestions/live,2026-09-03T13:38:19.594647+00:00,2026-09-03-test-decouverte-couplee/raw/10-c2-labs.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 390}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 590}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 880}, {""year"": 2025, ""month"": 12, ""search_volume"": 1300}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 720}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque sennheiser tv,880,0.38,USD_DOCUMENTED,parent,True,,,,,"casque TV générique, filaire et sans fil mélangés",dataforseo_labs/google/keyword_suggestions/live,2026-09-03T13:38:19.594647+00:00,2026-09-03-test-decouverte-couplee/raw/10-c2-labs.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 390}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 590}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 880}, {""year"": 2025, ""month"": 12, ""search_volume"": 1300}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 720}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque pour tv sans fil,880,0.23,USD_DOCUMENTED,core,False,G0001,0,G0001,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:41.614360+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-2.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 720}, {""year"": 2026, ""month"": 6, ""search_volume"": 720}, {""year"": 2026, ""month"": 5, ""search_volume"": 720}, {""year"": 2026, ""month"": 4, ""search_volume"": 720}, {""year"": 2026, ""month"": 3, ""search_volume"": 1000}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 1300}, {""year"": 2025, ""month"": 12, ""search_volume"": 1900}, {""year"": 2025, ""month"": 11, ""search_volume"": 1600}, {""year"": 2025, ""month"": 10, ""search_volume"": 880}, {""year"": 2025, ""month"": 9, ""search_volume"": 590}, {""year"": 2025, ""month"": 8, ""search_volume"": 590}]"
C2,casque tv sennheiser,880,0.38,USD_DOCUMENTED,parent,True,,,,,"casque TV générique, filaire et sans fil mélangés",keywords_data/google_ads/search_volume/live,2026-09-03T13:45:51.027216+00:00,2026-09-03-test-decouverte-couplee/raw/22-first-controls.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 390}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 590}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 880}, {""year"": 2025, ""month"": 12, ""search_volume"": 1300}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 720}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque sennheiser pour tv,880,0.38,USD_DOCUMENTED,parent,True,,,,,"casque TV générique, filaire et sans fil mélangés",dataforseo_labs/google/keyword_suggestions/live,2026-09-03T13:38:19.594647+00:00,2026-09-03-test-decouverte-couplee/raw/10-c2-labs.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 390}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 590}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 880}, {""year"": 2025, ""month"": 12, ""search_volume"": 1300}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 720}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque sans fil pour télévision,880,0.26,USD_DOCUMENTED,core,False,G0001,0,G0001,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:45.663971+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-3.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 390}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 590}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 590}, {""year"": 2026, ""month"": 2, ""search_volume"": 880}, {""year"": 2026, ""month"": 1, ""search_volume"": 1000}, {""year"": 2025, ""month"": 12, ""search_volume"": 1600}, {""year"": 2025, ""month"": 11, ""search_volume"": 1600}, {""year"": 2025, ""month"": 10, ""search_volume"": 1000}, {""year"": 2025, ""month"": 9, ""search_volume"": 880}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque pour télévision sans fil,880,0.23,USD_DOCUMENTED,core,False,G0001,0,G0001,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:45.663971+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-3.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 720}, {""year"": 2026, ""month"": 6, ""search_volume"": 720}, {""year"": 2026, ""month"": 5, ""search_volume"": 720}, {""year"": 2026, ""month"": 4, ""search_volume"": 720}, {""year"": 2026, ""month"": 3, ""search_volume"": 1000}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 1300}, {""year"": 2025, ""month"": 12, ""search_volume"": 1900}, {""year"": 2025, ""month"": 11, ""search_volume"": 1600}, {""year"": 2025, ""month"": 10, ""search_volume"": 880}, {""year"": 2025, ""month"": 9, ""search_volume"": 590}, {""year"": 2025, ""month"": 8, ""search_volume"": 590}]"
C2,casque télévision sennheiser,880,0.38,USD_DOCUMENTED,parent,True,,,,,"casque TV générique, filaire et sans fil mélangés",dataforseo_labs/google/keyword_suggestions/live,2026-09-03T14:36:31.018349+00:00,2026-09-03-qualification-9-produits-pur/raw/10-C2-labs-0.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 390}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 590}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 880}, {""year"": 2025, ""month"": 12, ""search_volume"": 1300}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 720}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque bluetooth télévision,880,0.3,USD_DOCUMENTED,core,False,G0004,0,G0004,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:45.663971+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-3.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 480}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 720}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 880}, {""year"": 2026, ""month"": 2, ""search_volume"": 1000}, {""year"": 2026, ""month"": 1, ""search_volume"": 1000}, {""year"": 2025, ""month"": 12, ""search_volume"": 1600}, {""year"": 2025, ""month"": 11, ""search_volume"": 1300}, {""year"": 2025, ""month"": 10, ""search_volume"": 880}, {""year"": 2025, ""month"": 9, ""search_volume"": 720}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
C2,casque sans fils pour television,880,0.26,USD_DOCUMENTED,core,False,G0001,0,G0001,0,casque TV sans fil compatible avec kit émetteur,keywords_data/google_ads/search_volume/live,2026-09-03T14:41:45.663971+00:00,2026-09-03-qualification-9-produits-pur/raw/20-controls-3.json.gz,"[{""year"": 2026, ""month"": 7, ""search_volume"": 390}, {""year"": 2026, ""month"": 6, ""search_volume"": 480}, {""year"": 2026, ""month"": 5, ""search_volume"": 590}, {""year"": 2026, ""month"": 4, ""search_volume"": 590}, {""year"": 2026, ""month"": 3, ""search_volume"": 590}, {""year"": 2026, ""month"": 2, ""search_volume"": 880}, {""year"": 2026, ""month"": 1, ""search_volume"": 1000}, {""year"": 2025, ""month"": 12, ""search_volume"": 1600}, {""year"": 2025, ""month"": 11, ""search_volume"": 1600}, {""year"": 2025, ""month"": 10, ""search_volume"": 1000}, {""year"": 2025, ""month"": 9, ""search_volume"": 880}, {""year"": 2025, ""month"": 8, ""search_volume"": 720}]"
